"gene_ID"	"pDirectEvidence"	"pIndirectEvidence"	"pCombinedEvidence"
6715	0.00837827063813644	NA	0.00837827063813644
6716	0.689967108612179	NA	0.689967108612179
6717	0.00328013014152676	NA	0.00328013014152676
6718	0.51497153248541	NA	0.51497153248541
6720	0.37732120437724	0.1505	0.219677092869555
6721	0.210997586188956	NA	0.210997586188956
6722	0.172735344709612	0.0365	0.0382479193987548
6723	0.806951349094501	NA	0.806951349094501
6725	0.456837702773013	NA	0.456837702773013
6726	0.190269258197895	NA	0.190269258197895
6727	0.800455088906186	NA	0.800455088906186
6728	0.031492514790743	NA	0.031492514790743
6729	0.00119085919407349	NA	0.00119085919407349
6730	0.0350760397039211	NA	0.0350760397039211
6731	0.000542149257097665	NA	0.000542149257097665
6732	0.216745418870282	NA	0.216745418870282
6733	0.00879775101795539	NA	0.00879775101795539
6734	0.863458004715926	NA	0.863458004715926
6736	0.357044078673447	NA	0.357044078673447
6737	0.608012805294499	NA	0.608012805294499
6738	0.0662687706375236	NA	0.0662687706375236
6741	0.117148706314563	NA	0.117148706314563
6742	0.0386041093380991	NA	0.0386041093380991
6744	0.605089493353503	NA	0.605089493353503
6745	0.0019111800924702	0.4995	0.00759333626446072
6746	0.953363006678991	0.4995	0.829504617034835
6747	0.379680814034239	0.4995	0.504958292838128
6748	0.533187921963674	0.4995	0.618686203424019
6749	0.179225701947472	NA	0.179225701947472
6750	4.57035471604061e-05	0.6085	0.00031954647775647
6751	0.563029657696488	NA	0.563029657696488
6752	0.254174020143305	0.193	0.196948425969171
6753	0.776091119487964	NA	0.776091119487964
6754	0.812507706722389	NA	0.812507706722389
6755	0.735171845935112	NA	0.735171845935112
6756	0.749744920311714	NA	0.749744920311714
6757	0.637303622409259	NA	0.637303622409259
6758	0.654088115109123	NA	0.654088115109123
6760	0.178114678370643	NA	0.178114678370643
6764	0.0239074646889069	NA	0.0239074646889069
6767	0.442611961019362	NA	0.442611961019362
6768	0.357356467133024	NA	0.357356467133024
6769	0.26570261580524	NA	0.26570261580524
6770	0.137045820387811	NA	0.137045820387811
6772	0.0032116104695114	0.813	0.0181415192406073
6773	0.279239450685881	0.4865	0.407034291216314
6774	0.24023275952154	0.6035	0.424960409352455
6775	0.00225753145910989	0.4865	0.00858203255794449
6776	0.832773724593518	0.5525	0.817286694131406
6777	0.020758221989121	0.5525	0.0627133573723266
6778	0.190606182806466	0.4865	0.313247584768969
6779	0.0178499284246299	NA	0.0178499284246299
6780	0.265160534634431	NA	0.265160534634431
6781	0.0103937140399683	NA	0.0103937140399683
6782	0.019387838213919	NA	0.019387838213919
6783	0.00303062634359957	NA	0.00303062634359957
6785	0.0233587221605368	NA	0.0233587221605368
6786	0.908633120093599	NA	0.908633120093599
6787	0.28122610053663	NA	0.28122610053663
6788	0.145216735998932	NA	0.145216735998932
6789	0.0291988485848765	0.3945	0.0629367797868892
6790	0.177716899169018	0.6545	0.366562813507454
6792	0.173469416240003	NA	0.173469416240003
6793	0.144921886911844	NA	0.144921886911844
6794	0.000479722602425929	0.427	0.00194461693118827
6795	0.666837270221513	NA	0.666837270221513
6799	0.400575043018008	NA	0.400575043018008
6801	0.0212729321541876	NA	0.0212729321541876
6804	0.45026526573002	NA	0.45026526573002
6809	0.160686065904248	NA	0.160686065904248
6810	0.118722893325995	0.8305	0.327023568168356
6811	0.716506791058015	NA	0.716506791058015
6812	0.0992296174347587	NA	0.0992296174347587
6813	0.722120014166308	NA	0.722120014166308
6814	0.357883905461141	NA	0.357883905461141
6815	0.0270061645804944	NA	0.0270061645804944
6817	0.107930639423665	NA	0.107930639423665
6819	0.170791986544633	NA	0.170791986544633
6820	0.474977590453865	NA	0.474977590453865
6821	0.359505110150878	NA	0.359505110150878
6822	0.20037530803529	NA	0.20037530803529
6827	0.114568107966041	NA	0.114568107966041
6829	0.248777434571617	NA	0.248777434571617
6830	0.00884828834843203	NA	0.00884828834843203
6832	0.0283244136368503	NA	0.0283244136368503
6833	0.0382698649807202	0.63	0.113922905872906
6834	0.067065317969222	NA	0.067065317969222
6835	0.222198017627686	NA	0.222198017627686
6836	0.343478718578185	NA	0.343478718578185
6837	0.293391846214096	NA	0.293391846214096
6838	0.235204254919524	NA	0.235204254919524
6839	0.419717945167326	NA	0.419717945167326
6840	0.209670032253052	NA	0.209670032253052
6843	0.0492198189655826	0.6985	0.150250382760079
6844	0.557249954895571	0.823	0.816126998934906
6845	0.000686849980099003	NA	0.000686849980099003
6846	0.0477259385799599	0.9985	0.192703771368609
6847	0.285534684860032	NA	0.285534684860032
6850	0.0403101716051717	0.5305	0.10360998099117
6853	0.347586812591108	NA	0.347586812591108
6854	0.0452301139622457	NA	0.0452301139622457
6855	0.957691054882219	NA	0.957691054882219
6856	0.156651607930118	NA	0.156651607930118
6857	0.0225864971947843	NA	0.0225864971947843
6860	0.01489660482441	NA	0.01489660482441
6861	0.751371936030873	NA	0.751371936030873
6862	0.365118365023682	NA	0.365118365023682
6863	0.00166654204154281	NA	0.00166654204154281
6865	0.82771655971456	0.5425	0.808557855658069
6866	0.0384117760361454	NA	0.0384117760361454
6867	0.0141758900463118	NA	0.0141758900463118
6868	0.0739164008524045	0.067	0.0312391535613286
6869	0.301333067760076	0.5425	0.459540509291952
6870	0.90762294404727	0.5425	0.841237306425627
6871	0.171318833244118	NA	0.171318833244118
6872	0.066608122153236	NA	0.066608122153236
6873	0.00754813593833152	NA	0.00754813593833152
6874	0.236644777233112	NA	0.236644777233112
6875	0.140471524264068	NA	0.140471524264068
6876	0.0806554246323753	NA	0.0806554246323753
6877	0.201975252621769	NA	0.201975252621769
6878	0.00776036390483557	NA	0.00776036390483557
6879	0.000355286145202646	NA	0.000355286145202646
6880	0.025908744069392	NA	0.025908744069392
6881	0.0434981587571655	NA	0.0434981587571655
6882	0.122984004198569	NA	0.122984004198569
6883	0.536727741542696	NA	0.536727741542696
6884	0.0638341097562988	NA	0.0638341097562988
6885	0.0228638456706719	5e-04	0.000141516925885158
6886	0.105968768676364	NA	0.105968768676364
6887	0.546027149270454	NA	0.546027149270454
6888	0.00687856703424077	NA	0.00687856703424077
6890	0.0973601644982577	0.676	0.244892809409006
6891	0.0844294536642527	0.676	0.220500958311752
6892	0.325679701259111	0.5985	0.513645425962006
6894	0.0479383421757693	NA	0.0479383421757693
6895	0.401921835439582	NA	0.401921835439582
6897	0.00162877247696325	NA	0.00162877247696325
6898	0.201501109136092	NA	0.201501109136092
6899	0.0695931548964502	NA	0.0695931548964502
6900	0.89100128422895	0.1085	0.32254333362202
6901	0.0424215438719355	NA	0.0424215438719355
6902	0.0791102678606814	NA	0.0791102678606814
6903	0.0488512386534156	NA	0.0488512386534156
6904	0.172068890347785	NA	0.172068890347785
6905	0.0138804567743383	NA	0.0138804567743383
6906	0.440609630107453	NA	0.440609630107453
6907	0.00878370203484087	0.758	0.0400277020816327
6908	0.0457004349026166	NA	0.0457004349026166
6909	0.0637554279151377	NA	0.0637554279151377
6910	0.0103717276701005	NA	0.0103717276701005
6911	0.0616243642651055	NA	0.0616243642651055
6913	0.27283539703252	NA	0.27283539703252
6915	0.0330411409033133	0.5425	0.0900107150038222
6916	0.548191668777283	NA	0.548191668777283
6917	0.240012826822128	NA	0.240012826822128
6919	0.00451035798504671	NA	0.00451035798504671
6920	0.522145749496416	NA	0.522145749496416
6921	0.00613133605203299	0.6605	0.0263602142639615
6923	0.2368735539129	0.6605	0.446676934938476
6924	0.0962333038267864	NA	0.0962333038267864
6925	0.0171218824072955	NA	0.0171218824072955
6926	0.0140618273694629	NA	0.0140618273694629
6927	0.775493073209024	0.9465	0.96098804467241
6928	0.713468167246601	0.5715	0.773540308375517
6929	0.00172559530711542	NA	0.00172559530711542
6932	0.133787764179363	0.423	0.219118509706049
6934	0.0285174498183704	0.423	0.0653521334379246
6935	0.00824758564378967	NA	0.00824758564378967
6936	0.0335666538493451	NA	0.0335666538493451
6938	0.00473747063467782	NA	0.00473747063467782
6939	0.678234012098211	NA	0.678234012098211
6940	0.282053380986497	NA	0.282053380986497
6941	0.0892079197246886	NA	0.0892079197246886
6942	0.0353790697928626	NA	0.0353790697928626
6943	0.323279390030093	NA	0.323279390030093
6944	0.87452041459632	NA	0.87452041459632
6945	0.193992563486996	NA	0.193992563486996
6947	0.621841343500146	NA	0.621841343500146
6948	0.968417917310341	NA	0.968417917310341
6949	0.311076142609345	NA	0.311076142609345
6950	0.0429649329124148	NA	0.0429649329124148
6953	0.460028553785174	NA	0.460028553785174
6954	0.0273289587422486	NA	0.0273289587422486
6955	0.0310855595346887	NA	0.0310855595346887
6975	0.169326162923064	NA	0.169326162923064
6978	0.842221630365732	NA	0.842221630365732
6981	0.888125758133855	NA	0.888125758133855
6988	0.529349658208928	NA	0.529349658208928
6990	0.0306639524644929	NA	0.0306639524644929
6991	0.191539717699394	NA	0.191539717699394
6992	0.357269975337532	NA	0.357269975337532
6993	0.420972770921863	NA	0.420972770921863
6996	0.016640487184295	NA	0.016640487184295
6997	0.558627964027175	NA	0.558627964027175
6999	0.324189419672683	NA	0.324189419672683
7001	0.0107764148578706	NA	0.0107764148578706
7003	0.00355149694150131	NA	0.00355149694150131
7004	0.375756912758374	NA	0.375756912758374
7005	0.300294612005311	NA	0.300294612005311
7006	0.836503015722724	0.1715	0.422016661412434
7007	0.35536153159376	NA	0.35536153159376
7008	0.705557672654137	NA	0.705557672654137
7009	0.0581982879545603	NA	0.0581982879545603
7010	0.555743803437971	NA	0.555743803437971
7011	0.0238035754621495	NA	0.0238035754621495
7013	0.00154712941042085	NA	0.00154712941042085
7014	0.290460197951084	NA	0.290460197951084
7015	0.949422756470229	NA	0.949422756470229
